stat,r_self,r_within,r_next_margin,n_pairs,r_vs_ref,block_games,seasons
mid_rate,0.48029110870548536,0.1336040461441542,-0.016358115993976477,450,-0.08503733700855187,5,2024-25
oreb_per100,0.4131635590201939,0.02799109914500461,-0.058995665212747225,450,-0.004519884474144398,5,2024-25
largest_run_against,0.01165068091409793,-0.12244645235634467,-0.12152422756008843,450,-0.42166792028607175,5,2024-25
lineups_per100,0.4987918030354079,0.0033121548975738506,-0.15873960554283734,450,-0.21689237656019256,5,2024-25
tov_rate,0.2729138153093507,-0.033724835145928125,-0.2315046202345533,450,-0.3511844710635629,5,2024-25
def_rtg,0.2673323189677143,0.033056618399817196,-0.28375997160526445,450,-0.7040672254853926,5,2024-25
def_rtg_nogarbage,0.2663062647013101,0.03171050048042838,-0.2965302357534906,450,-0.7127292472420393,5,2024-25
net_rtg_luckadj_nogarbage,0.5883669012224647,0.019891665005502192,0.5915087819136298,210,0.8292396009754706,10,2024-25
net_rtg_luckadj,0.5905817720406528,0.05465165963108045,0.5738763393194707,210,0.8063960237424328,10,2024-25
net_rtg_nonclutch,0.5467934740826943,0.02295450305825435,0.5687554669884122,210,0.975902123210675,10,2024-25
net_rtg_nogarbage,0.5491670106865995,0.0007829889567875015,0.5621971895385222,210,0.9854521348453992,10,2024-25
margin_pg,0.5563735527379384,0.02141750511265654,0.5563735527379384,210,0.9986050221808882,10,2024-25
net_rtg,0.5485920763139362,0.011646071094159749,0.5534045659986501,210,,10,2024-25
time_leading_share,0.4613292274388583,-0.0463101383912739,0.4968546189535638,210,0.8478626230760188,10,2024-25
off_rtg_nogarbage,0.5470892611774331,0.0813784150664444,0.49557011327785655,210,0.7909711610311113,10,2024-25
net_rtg_1h,0.4643309617215081,0.006553292694872608,0.47514357215026537,210,0.8154179281850216,10,2024-25
net_rtg_close,0.40820889125766396,-0.10354878386146851,0.4686400226199694,210,0.8651738272313192,10,2024-25
off_rtg,0.528797260331369,0.08270463649153903,0.458492351538144,210,0.7771642309220004,10,2024-25
net_rtg_2h,0.361508294291623,-0.05830323860788572,0.44538571654453274,210,0.8295015369069338,10,2024-25
net_rtg_leading8,0.35717778559067775,0.054119361771100966,0.4247263200410356,199,0.6962772622972755,10,2024-25
efg,0.5255055381352802,0.05987925674640637,0.3619427494659019,210,0.6336104362067406,10,2024-25
net_rtg_trailing8,0.19864883035738684,-0.044524771874855595,0.3085895418455829,205,0.5816997041281138,10,2024-25
top_lineup_share,0.3849769040104355,-0.05082494202619707,0.23451304445419063,210,0.2593238376145553,10,2024-25
top3_lineup_share,0.48410058666287714,-0.018884950390551377,0.2248928311130286,210,0.2541905230374193,10,2024-25
own_3p_luck_per100,0.21810911982301714,-0.08714998965096125,0.17714322634427596,210,0.5099745718997414,10,2024-25
